ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1000686;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.1;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;36;44;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000706;2НДФЛ;Покупка автомобиля;0;;мужской;1;0;высшее;другое;;1;19;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000726;Поступление зарплаты на счет;Ремонт;0;0.53;мужской;0;0;высшее;менеджер среднего звена;>250;1;38;46;Информационные технологии;ООО;женат / замужем;2;2;0;0;0;0.0666666667;0;0;0;0;0.5;1;1;14;2;0;1;27;28;1;0;0;0;0;0;0
1000746;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;незаконченное высшее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000766;Форма банка (без печати работодателя);Покупка мебели;1;0.59;мужской;0;0;высшее;другое;< 50;0;154;41;Другое;Иная форма;женат / замужем;0;0;0;0;0;0;1;1;1;1;0.3;3;7;128;10;0;1;0;129;0;0;0;0;0;0;0
1000786;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.5;мужской;2;0;высшее;торговый представитель;>250;0;6;36;Торговля;ООО;женат / замужем;2;2;1;0;0;0;1;1;1;1;0.5;1;1;4;2;0;0;0;69;0;0;0;0;0;0;0
1000806;2НДФЛ;Другое;1;0.49;мужской;1;0;высшее;менеджер среднего звена;>250;3;42;43;Торговля;ООО;женат / замужем;3;3;3;3;1;0;0;0;0;0;0;0;1;7;1;0;0;25;25;0;0;0;0;0;0;0
1000826;Форма банка (без печати работодателя);Ремонт;0;0.43;женский;1;0;высшее;специалист;>250;0;58;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000846;Поступление зарплаты на счет;Покупка автомобиля;0;0.32;мужской;2;0;высшее;специалист;>250;0;36;30;Информационные технологии;ООО;женат / замужем;1;1;1;0;0;0;0;0;0;0;1;2;0;50;2;1;0;19;28;0;0;0;0;0;0;0
1000866;Свободная форма с печатью работодателя;Ремонт;1;0.4;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;9;32;Другое;ООО;женат / замужем;3;3;2;2;0;0;0;1;0;0;0.4;2;3;34;5;2;0;4;80;0;0;0;0;0;0;0
